from,to,timestamp,value
0x027beefcbad782faf69fad12dee97ed894c68549,0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,"2016.04.09, 14:30:52",599.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0xa1962d0a7c48886eaed5b9e12129384281adeb2a,"2016.04.09, 17:38:15",0.91758
0x027beefcbad782faf69fad12dee97ed894c68549,0x92c982df74bf43dd47eb4b52fb477c782c0a77e2,"2016.04.09, 19:48:13",1.08643586
0x027beefcbad782faf69fad12dee97ed894c68549,0x3f99bfd274d81a7bf019377c3a43ee1bbafd48c6,"2016.04.09, 20:56:54",0.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0x3f99bfd274d81a7bf019377c3a43ee1bbafd48c6,"2016.04.09, 21:06:20",30.26049
0x027beefcbad782faf69fad12dee97ed894c68549,0x605081dfbcfafecf005ec1ef521afd30d9a037fa,"2016.04.09, 23:50:09",30.84458
0x027beefcbad782faf69fad12dee97ed894c68549,0x92c982df74bf43dd47eb4b52fb477c782c0a77e2,"2016.04.10, 02:06:18",1.0183583
0x027beefcbad782faf69fad12dee97ed894c68549,0x6737c98872e367a55a2522fe32d6adf6dc9ca974,"2016.04.10, 02:40:11",0.24958
0x027beefcbad782faf69fad12dee97ed894c68549,0xe6426ae15329a85ecb3ec0b4bfa487b96c2dd6c6,"2016.04.10, 03:19:29",4.47062
0x027beefcbad782faf69fad12dee97ed894c68549,0x89c6c79285c821e81ebf255a37bd648aefd601a9,"2016.04.10, 04:43:04",0.74458
0x027beefcbad782faf69fad12dee97ed894c68549,0x89c6c79285c821e81ebf255a37bd648aefd601a9,"2016.04.10, 04:47:08",0.99458
0x027beefcbad782faf69fad12dee97ed894c68549,0x3a6becb55fb7ea4a6a4aa6f93266c4ce4f37c858,"2016.04.10, 06:04:16",199.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0x92c982df74bf43dd47eb4b52fb477c782c0a77e2,"2016.04.10, 12:32:18",1.08669013
0x027beefcbad782faf69fad12dee97ed894c68549,0xb90a82ec61627885eab72f4253939285ba40c91d,"2016.04.10, 15:26:05",699.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0xf74e1c79824214932496bdba1a5c30228ed88caf,"2016.04.10, 15:29:03",0.77430445
0x027beefcbad782faf69fad12dee97ed894c68549,0xb90a82ec61627885eab72f4253939285ba40c91d,"2016.04.10, 15:48:39",499.99958000000004
0x027beefcbad782faf69fad12dee97ed894c68549,0xf74e1c79824214932496bdba1a5c30228ed88caf,"2016.04.10, 16:15:14",0.99458
0x027beefcbad782faf69fad12dee97ed894c68549,0x89c6c79285c821e81ebf255a37bd648aefd601a9,"2016.04.10, 17:15:09",19.40208
0x027beefcbad782faf69fad12dee97ed894c68549,0x1f34794ff60b03d910e037dbf343007ad8aa9d6c,"2016.04.10, 17:43:23",19.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0x1f34794ff60b03d910e037dbf343007ad8aa9d6c,"2016.04.10, 17:49:25",279.99958000000004
0x027beefcbad782faf69fad12dee97ed894c68549,0xfcde4905379f21f1b25ec1590e34e3de6226db73,"2016.04.10, 21:16:20",879.86058
0x027beefcbad782faf69fad12dee97ed894c68549,0xe6426ae15329a85ecb3ec0b4bfa487b96c2dd6c6,"2016.04.11, 01:50:04",3.72857108
0x027beefcbad782faf69fad12dee97ed894c68549,0x0c530c5bc48de2734ecee1511b1db404538cdfda,"2016.04.11, 08:31:08",0.53127
0x027beefcbad782faf69fad12dee97ed894c68549,0x92c982df74bf43dd47eb4b52fb477c782c0a77e2,"2016.04.11, 11:49:08",2.17244429
0x027beefcbad782faf69fad12dee97ed894c68549,0x75c6986fd0206a15424300ef320539b72d3e6b4c,"2016.04.11, 17:14:10",299.99958000000004
0x027beefcbad782faf69fad12dee97ed894c68549,0x095f24bb41823792fc7fb0348f219f0eb0aeec76,"2016.04.11, 22:41:05",0.27858182
0x027beefcbad782faf69fad12dee97ed894c68549,0xf88220b0fdbeb2e4ed054f6ec360631e8802f5b8,"2016.04.12, 13:45:06",0.09880915
0x027beefcbad782faf69fad12dee97ed894c68549,0x74e4536d817bb8c4be545d0cc0dc9521e0f14bd9,"2016.04.12, 14:57:22",114.72047644
0x027beefcbad782faf69fad12dee97ed894c68549,0xb90a82ec61627885eab72f4253939285ba40c91d,"2016.04.12, 17:10:10",999.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0x0c530c5bc48de2734ecee1511b1db404538cdfda,"2016.04.12, 20:06:05",1.1195398752033159
0x027beefcbad782faf69fad12dee97ed894c68549,0x34d6c8e3aab94c88a9ceacbc656a9d64e78ba10c,"2016.04.12, 20:51:23",45.27258304
0x027beefcbad782faf69fad12dee97ed894c68549,0xdf7aa30b4a6c83a54bc7794654b3b4f620dd4f04,"2016.04.13, 02:21:25",0.10352167
0x027beefcbad782faf69fad12dee97ed894c68549,0x390b49ba5d10941f3dd4305f95b40f0614ed2ec0,"2016.04.13, 04:35:05",189.02458
0x027beefcbad782faf69fad12dee97ed894c68549,0x6737c98872e367a55a2522fe32d6adf6dc9ca974,"2016.04.13, 06:02:08",80.17668
0x027beefcbad782faf69fad12dee97ed894c68549,0xc30a847858c7866cef0f2bab0821d9505a1de365,"2016.04.13, 09:18:19",4.97458
0x027beefcbad782faf69fad12dee97ed894c68549,0x92c982df74bf43dd47eb4b52fb477c782c0a77e2,"2016.04.13, 11:47:18",4.22626038
0x027beefcbad782faf69fad12dee97ed894c68549,0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,"2016.04.13, 12:25:21",0.99958
0x027beefcbad782faf69fad12dee97ed894c68549,0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,"2016.04.13, 13:08:04",1.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,"2016.04.13, 13:51:11",4000.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xa6207202699cef52ff72e9bb62c9cc34631df97a,"2016.04.13, 15:04:04",400.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x0383062fde986dfb5f07312e268692879774c0a5,"2016.04.13, 16:56:28",44.249614
0x027beefcbad782faf69fad12dee97ed894c68549,0x5577b3bd003b3fc1cedda073ac2df9b0c7277458,"2016.04.13, 17:24:18",400.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xf10498cfb4cf11df14e9197ea68debc8faa1130b,"2016.04.13, 17:26:06",10.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xac2e334bf5e2b1bdb0a5349d483a8fa196a9b521,"2016.04.13, 17:43:15",1.19387531
0x027beefcbad782faf69fad12dee97ed894c68549,0xc30a847858c7866cef0f2bab0821d9505a1de365,"2016.04.13, 21:09:35",14.925
0x027beefcbad782faf69fad12dee97ed894c68549,0x4a909b8d732cdcae37acdd7f5993021e68ec9ea3,"2016.04.13, 21:36:26",200.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x9fae6c302b5a90352ef972c3c99a2a4695e12014,"2016.04.15, 01:22:04",616.6128219
